@relation chunk

@attribute pos_1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute chunk {B-ADJP, B-ADVP, B-CONJP, B-INTJ, B-LST, B-NP, B-PP, B-PRT, B-SBAR, B-UCP, B-VP, I-ADJP, I-ADVP, I-CONJP, I-INTJ, I-NP, I-PP, I-PRT, I-SBAR, I-UCP, I-VP, O}

@data
NN, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, RB, I-NP
NNP, RB, VBD, B-ADVP
RB, VBD, IN, B-VP
VBD, IN, VBG, B-SBAR
IN, VBG, NNS, B-NP
VBG, NNS, ",", I-NP
NNS, ",", WDT, O
",", WDT, VBD, B-NP
WDT, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, RBS, B-PP
IN, RBS, IN, B-NP
RBS, IN, CD, B-PP
IN, CD, ",", B-NP
CD, ",", VBD, O
",", VBD, TO, B-VP
VBD, TO, VB, I-VP
TO, VB, IN, I-VP
VB, IN, IN, B-PRT
IN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-SBAR
IN, NN, NNS, B-NP
NN, NNS, VBD, I-NP
NNS, VBD, ., B-VP
VBD, ., ``, O
., ``, JJ, O
``, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, :, I-NP
NNS, :, VBZ, O
:, VBZ, VBN, B-VP
VBZ, VBN, ",", I-VP
VBN, ",", "''", O
",", "''", NNP, O
"''", NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, ., B-VP
VBD, ., NNS, O
., NNS, IN, B-NP
NNS, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, ",", B-PRT
IN, ",", VBG, O
",", VBG, TO, B-VP
VBG, TO, CD, B-PP
TO, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, DT, I-NP
NN, DT, NN, B-NP
DT, NN, RBR, I-NP
NN, RBR, ., B-ADVP
RBR, ., IN, O
., IN, DT, B-PP
IN, DT, IN, B-NP
DT, IN, JJ, B-PP
IN, JJ, CD, B-NP
JJ, CD, ",", I-NP
CD, ",", RB, O
",", RB, ",", B-ADVP
RB, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, VBD, I-NP
NN, VBD, CD, B-VP
VBD, CD, NN, B-NP
CD, NN, ",", I-NP
NN, ",", IN, O
",", IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, CD, I-NP
JJ, CD, JJ, I-NP
CD, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, ., I-NP
NN, ., JJR, O
., JJR, NN, B-NP
JJR, NN, NNS, I-NP
NN, NNS, :, I-NP
NNS, :, RB, O
:, RB, IN, B-ADVP
RB, IN, NNS, B-PP
IN, NNS, ",", B-NP
NNS, ",", CC, O
",", CC, JJ, O
CC, JJ, JJ, B-NP
JJ, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, NNS, I-NP
NN, NNS, :, I-NP
NNS, :, VBD, O
:, VBD, VBN, B-VP
VBD, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, ., B-VP
VBD, ., VBG, O
., VBG, RB, B-VP
VBG, RB, TO, B-ADVP
RB, TO, CD, B-PP
TO, CD, ",", B-NP
CD, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, ``, B-VP
VBD, ``, DT, O
``, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", "''", O
",", "''", IN, O
"''", IN, IN, B-ADVP
IN, IN, VBN, B-PP
IN, VBN, NN, B-NP
VBN, NN, ",", I-NP
NN, ",", IN, O
",", IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, VBZ, I-NP
NNS, VBZ, IN, B-VP
VBZ, IN, CD, B-PP
IN, CD, ., B-NP
CD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", CD, O
",", CD, NNS, B-NP
CD, NNS, JJ, I-NP
NNS, JJ, ",", B-ADJP
JJ, ",", VBD, O
",", VBD, VBN, B-VP
VBD, VBN, NN, I-VP
VBN, NN, CC, B-NP
NN, CC, JJ, O
CC, JJ, VBG, B-NP
JJ, VBG, NN, I-NP
VBG, NN, ., I-NP
NN, ., NNP, O
., NNP, VBZ, B-NP
NNP, VBZ, JJ, B-VP
VBZ, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, PRP, B-NP
IN, PRP, VBZ, B-NP
PRP, VBZ, IN, B-VP
VBZ, IN, ``, B-PP
IN, ``, NN, O
``, NN, NN, B-NP
NN, NN, ., I-NP
NN, ., "''", O
., "''", DT, O
"''", DT, VBG, B-NP
DT, VBG, NN, I-NP
VBG, NN, POS, I-NP
NN, POS, NN, B-NP
POS, NN, VBZ, I-NP
NN, VBZ, JJ, B-VP
VBZ, JJ, ., B-ADJP
JJ, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", CD, O
",", CD, ",", B-NP
CD, ",", WP, O
",", WP, VBD, B-NP
WP, VBD, VBN, B-VP
VBD, VBN, NN, I-VP
VBN, NN, ",", B-NP
NN, ",", VBD, O
",", VBD, VBN, B-VP
VBD, VBN, NN, I-VP
VBN, NN, NN, B-NP
NN, NN, ., I-NP
NN, ., PRP, O
., PRP, VBZ, B-NP
PRP, VBZ, JJ, B-VP
VBZ, JJ, JJ, B-NP
JJ, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, NN, B-VP
VBD, NN, NN, B-NP
NN, NN, CC, I-NP
NN, CC, JJ, O
CC, JJ, VBG, B-NP
JJ, VBG, NN, I-NP
VBG, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., RB, O
., RB, ",", B-ADVP
RB, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBN, I-NP
NN, VBN, TO, B-VP
VBN, TO, CD, B-PP
TO, CD, NNS, B-NP
CD, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, ., I-NP
NN, ., DT, O
., DT, NN, B-NP
DT, NN, RB, I-NP
NN, RB, VBD, B-ADVP
RB, VBD, PRP, B-VP
VBD, PRP, RB, B-NP
PRP, RB, VBD, B-ADVP
RB, VBD, NN, B-VP
VBD, NN, CC, B-NP
NN, CC, NNS, I-NP
CC, NNS, IN, I-NP
NNS, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, $, B-PP
IN, $, CD, B-NP
$, CD, ., I-NP
CD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", RB, B-NP
",", RB, JJ, I-NP
RB, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", VBD, O
",", VBD, VBN, B-VP
VBD, VBN, TO, I-VP
VBN, TO, DT, B-PP
TO, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, ",", I-NP
NN, ",", NNP, O
",", NNP, JJ, B-NP
NNP, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", IN, O
",", IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, VBP, I-NP
NNS, VBP, ., I-NP
VBP, ., RB, O
., RB, ",", B-ADVP
RB, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", JJ, O
",", JJ, NN, B-NP
JJ, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", NNP, O
",", NNP, JJ, B-NP
NNP, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", VBD, O
",", VBD, VBN, B-VP
VBD, VBN, NN, I-VP
VBN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, POS, I-NP
NN, POS, JJ, B-NP
POS, JJ, JJ, I-NP
JJ, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., PRP, O
., PRP, VBZ, B-NP
PRP, VBZ, DT, B-VP
VBZ, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, ",", B-VP
VBD, ",", CC, O
",", CC, PRP$, O
CC, PRP$, JJ, B-NP
PRP$, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, ``, B-VP
VBZ, ``, DT, O
``, DT, VBG, B-NP
DT, VBG, NN, I-NP
VBG, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, JJ, I-NP
NN, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, JJ, B-NP
POS, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, NNS, I-NP
NN, NNS, ., I-NP
NNS, ., "''", O
., "''", NNP, O
"''", NNP, NNP, B-NP
NNP, NNP, MD, I-NP
NNP, MD, VB, B-VP
MD, VB, NNP, I-VP
VB, NNP, NNP, B-NP
NNP, NNP, IN, I-NP
NNP, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", CC, O
",", CC, NNP, O
CC, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, JJ, B-NP
POS, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, RB, B-VP
VBZ, RB, VBG, I-VP
RB, VBG, VBN, I-VP
VBG, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, ., B-VP
VBD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBD, I-NP
NNP, VBD, PRP, B-VP
VBD, PRP, VBD, B-NP
PRP, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, $, I-NP
JJ, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, NN, I-NP
CD, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", WDT, O
",", WDT, VBZ, B-NP
WDT, VBZ, VBG, B-VP
VBZ, VBG, VBN, I-VP
VBG, VBN, IN, I-VP
VBN, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, ., B-NP
NNP, ., NNP, O
., NNP, ",", B-NP
NNP, ",", IN, O
",", IN, IN, B-ADVP
IN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", VBP, O
",", VBP, VBN, B-VP
VBP, VBN, VBG, I-VP
VBN, VBG, DT, I-VP
VBG, DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", WDT, O
",", WDT, PRP, B-NP
WDT, PRP, VBP, B-NP
PRP, VBP, TO, B-VP
VBP, TO, VB, I-VP
TO, VB, IN, I-VP
VB, IN, JJ, B-PP
IN, JJ, CD, B-NP
JJ, CD, ., I-NP
CD, ., DT, O
., DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, VBN, I-VP
VB, VBN, DT, I-VP
VBN, DT, VBG, B-NP
DT, VBG, NN, I-NP
VBG, NN, ., I-NP
NN, ., NNP, O
., NNP, POS, B-NP
NNP, POS, NNP, B-NP
POS, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, CC, I-VP
VB, CC, VB, I-VP
CC, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, PRP$, B-PP
IN, PRP$, NN, B-NP
PRP$, NN, ., I-NP
NN, ., DT, O
., DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBZ, I-NP
NNP, VBZ, VBG, B-VP
VBZ, VBG, DT, I-VP
VBG, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, IN, B-PP
IN, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, ., I-NP
NN, ., IN, O
., IN, DT, B-PP
IN, DT, $, B-NP
DT, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, VBD, I-NP
CD, VBD, RB, B-VP
VBD, RB, RB, B-ADVP
RB, RB, IN, I-ADVP
RB, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", CD, O
",", CD, NN, B-NP
CD, NN, VBZ, I-NP
NN, VBZ, VBG, B-VP
VBZ, VBG, IN, I-VP
VBG, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", NN, O
",", NN, CC, B-NP
NN, CC, NN, O
CC, NN, ",", B-NP
NN, ",", DT, O
",", DT, NNP, B-NP
DT, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, RB, I-NP
NNP, RB, VBD, B-ADVP
RB, VBD, ., B-VP
VBD, ., RB, O
., RB, CD, B-NP
RB, CD, IN, I-NP
CD, IN, CD, I-NP
IN, CD, NN, I-NP
CD, NN, NN, I-NP
NN, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, VBN, B-VP
VBP, VBN, ``, I-VP
VBN, ``, VBN, O
``, VBN, ., B-VP
VBN, ., "''", O
., "''", IN, O
"''", IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, CD, I-NP
JJ, CD, NNS, I-NP
CD, NNS, ",", I-NP
NNS, ",", $, O
",", $, CD, B-NP
$, CD, CD, I-NP
CD, CD, VBZ, I-NP
CD, VBZ, VBN, B-VP
VBZ, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., IN, O
., IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", WDT, O
",", WDT, VBZ, B-NP
WDT, VBZ, NNP, B-VP
VBZ, NNP, MD, B-NP
NNP, MD, VB, B-VP
MD, VB, NN, I-VP
VB, NN, $, I-VP
NN, $, CD, B-NP
$, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, PRP, B-PP
IN, PRP, ., B-NP
PRP, ., PRP, O
., PRP, MD, B-NP
PRP, MD, RB, B-VP
MD, RB, VB, I-VP
RB, VB, JJ, I-VP
VB, JJ, ",", B-ADJP
JJ, ",", CC, O
",", CC, PRP, O
CC, PRP, VBP, B-NP
PRP, VBP, WRB, B-VP
VBP, WRB, CD, B-ADVP
WRB, CD, NN, B-NP
CD, NN, NN, I-NP
NN, NN, NNS, I-NP
NN, NNS, ., B-VP
NNS, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBD, I-NP
NNP, VBD, PRP$, B-VP
VBD, PRP$, NNP, B-NP
PRP$, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, VBN, I-NP
NN, VBN, CD, B-VP
VBN, CD, NN, B-NP
CD, NN, NNS, I-NP
NN, NNS, IN, I-NP
NNS, IN, NNP, B-PP
IN, NNP, WDT, B-NP
NNP, WDT, MD, B-NP
WDT, MD, VB, B-VP
MD, VB, $, I-VP
VB, $, CD, B-NP
$, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, ., I-NP
NN, ., NNP, O
., NNP, IN, B-NP
NNP, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, VBG, I-NP
NNS, VBG, NNP, B-VP
VBG, NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, CC, I-NP
NNP, CC, NNP, O
CC, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", NNP, O
",", NNP, ",", B-NP
NNP, ",", VBZ, O
",", VBZ, NN, B-VP
VBZ, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, TO, B-NP
NNP, TO, VB, B-VP
TO, VB, IN, I-VP
VB, IN, DT, B-PP
IN, DT, VBG, B-NP
DT, VBG, NN, I-NP
VBG, NN, NN, I-NP
NN, NN, ., I-NP
NN, ., NNS, O
., NNS, VBD, B-NP
NNS, VBD, RB, B-VP
VBD, RB, VBN, I-VP
RB, VBN, ., I-VP
VBN, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, PRP, B-VP
VBD, PRP, VBD, B-NP
PRP, VBD, PRP$, B-VP
VBD, PRP$, NN, B-NP
PRP$, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, TO, I-NP
NNP, TO, NNP, B-PP
TO, NNP, CC, B-NP
NNP, CC, DT, O
CC, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, JJ, I-NP
NNP, JJ, NN, I-NP
JJ, NN, TO, I-NP
NN, TO, NNP, B-PP
TO, NNP, ",", B-NP
NNP, ",", JJ, O
",", JJ, NNP, B-ADJP
JJ, NNP, ., B-NP
NNP, ., DT, O
., DT, JJ, B-NP
DT, JJ, NNS, I-NP
JJ, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, VBD, I-NP
NNS, VBD, RB, B-VP
VBD, RB, VBN, I-VP
RB, VBN, IN, I-VP
VBN, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, NN, B-NP
NNP, NN, ., I-NP
NN, ., DT, O
., DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, VBD, I-NP
NN, VBD, DT, B-VP
VBD, DT, NNS, B-NP
DT, NNS, DT, I-NP
NNS, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, PRP$, B-PP
IN, PRP$, NN, B-NP
PRP$, NN, NNS, I-NP
NN, NNS, ., I-NP
NNS, ., DT, O
., DT, NNS, B-NP
DT, NNS, VBP, I-NP
NNS, VBP, DT, B-VP
VBP, DT, JJ, B-NP
DT, JJ, NNS, I-NP
JJ, NNS, IN, I-NP
NNS, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, ., B-VP
VBD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", CD, O
",", CD, NNS, B-NP
CD, NNS, JJ, I-NP
NNS, JJ, ",", B-ADJP
JJ, ",", VBD, O
",", VBD, VBN, B-VP
VBD, VBN, NN, I-VP
VBN, NN, CC, B-NP
NN, CC, JJ, O
CC, JJ, VBG, B-NP
JJ, VBG, NN, I-NP
VBG, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, POS, B-NP
NNP, POS, JJ, B-NP
POS, JJ, NNP, I-NP
JJ, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, ",", I-NP
NN, ",", VBN, O
",", VBN, IN, B-VP
VBN, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, ., B-NP
NNP, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, JJ, B-VP
VBD, JJ, JJ, B-NP
JJ, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, CC, I-NP
NN, CC, JJ, O
CC, JJ, VBG, B-NP
JJ, VBG, NN, I-NP
VBG, NN, ., I-NP
NN, ., NNP, O
., NNP, VBZ, B-NP
NNP, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", NN, I-NP
",", NN, ",", I-NP
NN, ",", NN, I-NP
",", NN, CC, I-NP
NN, CC, JJ, I-NP
CC, JJ, NNS, I-NP
JJ, NNS, VBP, I-NP
NNS, VBP, ., I-NP
VBP, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBZ, I-NP
NNP, VBZ, IN, B-VP
VBZ, IN, NNS, B-PP
IN, NNS, TO, B-NP
NNS, TO, VB, B-VP
TO, VB, PRP$, I-VP
VB, PRP$, NNP, B-NP
PRP$, NNP, JJ, I-NP
NNP, JJ, NN, I-NP
JJ, NN, TO, I-NP
NN, TO, NNP, B-PP
TO, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", NNS, O
",", NNS, JJ, B-NP
NNS, JJ, IN, B-ADJP
JJ, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, VBD, I-NP
NNS, VBD, ., B-VP
VBD, ., PRP, O
., PRP, VBD, B-NP
PRP, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, IN, I-VP
VB, IN, $, B-NP
IN, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, ., I-NP
CD, ., NNP, O
., NNP, ",", B-NP
NNP, ",", WDT, O
",", WDT, VBZ, B-NP
WDT, VBZ, DT, B-VP
VBZ, DT, VBN, B-NP
DT, VBN, CD, I-NP
VBN, CD, NNS, I-NP
CD, NNS, CC, I-NP
NNS, CC, VBZ, O
CC, VBZ, JJ, B-VP
VBZ, JJ, ",", B-ADJP
JJ, ",", VBZ, O
",", VBZ, NN, B-VP
VBZ, NN, NNS, B-NP
NN, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, NN, I-NP
NN, NN, WDT, I-NP
NN, WDT, MD, B-NP
WDT, MD, VB, B-VP
MD, VB, VBN, I-VP
VB, VBN, IN, I-VP
VBN, IN, RB, B-PP
IN, RB, VBN, B-NP
RB, VBN, JJ, I-NP
VBN, JJ, NNS, I-NP
JJ, NNS, ., I-NP
NNS, ., DT, O
., DT, NNS, B-NP
DT, NNS, MD, I-NP
NNS, MD, VB, B-VP
MD, VB, NN, I-VP
VB, NN, NNS, B-NP
NN, NNS, VBN, I-NP
NNS, VBN, IN, B-VP
VBN, IN, NNS, B-PP
IN, NNS, ., B-NP
NNS, ., NNP, O
., NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, ",", B-NP
NNP, ",", VBZ, O
",", VBZ, VBN, B-VP
VBZ, VBN, VBN, I-VP
VBN, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., DT, O
., DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, RB, B-VP
VBZ, RB, VBN, O
RB, VBN, TO, B-ADJP
VBN, TO, NNP, B-PP
TO, NNP, POS, B-NP
NNP, POS, JJ, B-NP
POS, JJ, NNS, I-NP
JJ, NNS, IN, I-NP
NNS, IN, VBG, B-PP
IN, VBG, NN, B-VP
VBG, NN, NN, B-NP
NN, NN, CC, I-NP
NN, CC, NN, O
CC, NN, NN, B-VP
NN, NN, IN, B-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., ``, O
